MTS,OPEN,CLOSE,HIGH,LOW,VOLUME
2017/12/14 9:44,16456,16470,16479,16455,19.36039562
2017/12/14 9:45,16470,16461,16472,16459,15.41440395
2017/12/14 9:46,16461,16452,16470,16451,18.65132463
2017/12/14 9:47,16455,16428,16460,16425,16.9804079
2017/12/14 9:48,16428,16435,16451,16427,10.88714801
2017/12/14 9:49,16432,16446,16460,16410,18.35816375
2017/12/14 9:50,16447,16448,16462,16443,6.6273113
2017/12/14 9:51,16447,16435,16450,16431,14.67684279
2017/12/14 9:52,16433,16420,16446,16410,19.28317277
2017/12/14 9:53,16420,16428,16446,16410,16.25022095
2017/12/14 9:54,16428,16425,16443,16410,14.10083842
2017/12/14 9:55,16425,16409,16438,16405,19.22120354
2017/12/14 9:56,16402,16412,16433,16400,21.18170228
2017/12/14 9:57,16420,16432,16437,16412,44.63174328
2017/12/14 9:58,16433,16429,16435,16419,14.28754123
2017/12/14 9:59,16430,16436,16437,16430,6.16149454
2017/12/14 10:00,16437,16460,16460,16436,15.5508488
2017/12/14 10:01,16460,16480,16480,16459,27.27234032
2017/12/14 10:02,16480,16519.31103,16520,16480,52.95858063
2017/12/14 10:03,16520,16568,16589,16520,55.38599282
2017/12/14 10:04,16567,16509,16568,16491,65.12981807
2017/12/14 10:05,16501,16505,16518,16486,18.02193661
2017/12/14 10:06,16516,16519,16520,16506,20.34857529
2017/12/14 10:07,16520,16566,16569,16519,27.2434286
2017/12/14 10:08,16566,16554,16600,16554,26.08212996
2017/12/14 10:09,16554,16590,16593,16518,31.45809918
2017/12/14 10:10,16564,16595,16600,16562,14.92810616
2017/12/14 10:11,16596,16599,16600,16595,23.86871958
2017/12/14 10:12,16599.33593,16568,16616,16561,42.19162328
2017/12/14 10:13,16578,16560,16578,16546,24.90627493
2017/12/14 10:14,16559,16548,16580,16537,14.27042672
2017/12/14 10:15,16547,16533,16549,16529,15.39280122
2017/12/14 10:16,16536,16531,16544,16522,23.83752944
2017/12/14 10:17,16531,16545,16549,16528,24.85874767
2017/12/14 10:18,16545,16534,16565,16533,16.34175595
2017/12/14 10:19,16534,16562,16578,16534,28.70535271
2017/12/14 10:20,16565,16527,16571,16525,26.73564403
2017/12/14 10:21,16527,16547,16570,16525,24.25526773
2017/12/14 10:22,16549,16518,16557,16518,33.58977766
2017/12/14 10:23,16517,16556,16579,16510,32.25742466
2017/12/14 10:24,16554,16546,16555,16543,16.7908582
2017/12/14 10:25,16546,16528,16555,16521,17.2882001
2017/12/14 10:26,16519,16526,16527,16519,24.30328738
2017/12/14 10:27,16526,16515,16527,16515,23.98057767
2017/12/14 10:28,16516,16501,16516,16500,25.13766127
2017/12/14 10:29,16501,16496,16502,16495,30.68484036
2017/12/14 10:30,16496,16480,16497,16480,57.79330457
2017/12/14 10:31,16480,16439,16480,16431,55.40367837
2017/12/14 10:32,16436,16462,16475,16436,38.0154843
2017/12/14 10:33,16463,16467,16472,16451,20.83005044
2017/12/14 10:34,16470,16458,16474,16458,10.4952478
2017/12/14 10:35,16457,16464,16475,16452,9.70464003
2017/12/14 10:36,16463,16477,16477,16452,26.42536474
2017/12/14 10:37,16476,16468,16480,16462.51202,12.11377172
2017/12/14 10:38,16469,16463,16469,16453,36.53650762
2017/12/14 10:39,16464,16463,16469,16450,34.75736113
2017/12/14 10:40,16451,16455,16463,16444,21.97850155
2017/12/14 10:41,16454,16458,16458,16438,33.31584244
2017/12/14 10:42,16457,16451,16460,16443,29.40017026
2017/12/14 10:43,16459,16460,16460,16453,20.08968131
2017/12/14 10:44,16458,16475,16480,16452,38.46194958
2017/12/14 10:45,16476,16467,16479,16463,30.33999517
2017/12/14 10:46,16472,16462,16473,16452,27.86585137
2017/12/14 10:47,16462,16461,16469,16452,23.18990331
2017/12/14 10:48,16461,16469,16476,16450,51.74565442
2017/12/14 10:49,16469,16464,16472,16456,70.29911516
2017/12/14 10:50,16467,16466,16475,16465,31.19467358
2017/12/14 10:51,16466,16457,16469,16455,34.54910106
2017/12/14 10:52,16457,16436,16458,16434,31.99679019
2017/12/14 10:53,16438,16427,16439,16424,15.87556863
2017/12/14 10:54,16427,16435.38314,16470,16421,39.800741
2017/12/14 10:55,16434,16418.79131,16445,16418.79131,25.24355866
2017/12/14 10:56,16418,16409,16426,16405,21.2154478
2017/12/14 10:57,16409,16405,16412,16405,30.07858103
2017/12/14 10:58,16405,16378,16406,16376.29839,123.4729951
2017/12/14 10:59,16380,16381,16381,16376,63.46042483
2017/12/14 11:00,16398,16425,16433,16382,32.06205622
2017/12/14 11:01,16434,16405,16449,16382,36.02397429
2017/12/14 11:02,16404,16399,16416,16384,26.6465041
2017/12/14 11:03,16405,16406,16411,16381,24.70817596
2017/12/14 11:04,16399,16438,16440,16393,16.31374535
2017/12/14 11:05,16438,16430,16448,16409,36.93929393
2017/12/14 11:06,16420,16392,16429,16382,16.43000769
2017/12/14 11:07,16392,16396.36449,16399,16384,11.59631824
2017/12/14 11:08,16386,16396,16422,16384,13.58961136
2017/12/14 11:09,16409,16382,16410,16372,27.02025014
2017/12/14 11:10,16386,16392,16409,16376,14.06829507
2017/12/14 11:11,16393,16368,16400,16366,18.36769445
2017/12/14 11:12,16369,16376,16386,16361,48.29516508
2017/12/14 11:13,16376,16381,16394,16376,9.97398576
2017/12/14 11:14,16380,16380,16384,16374,5.32285817
2017/12/14 11:15,16379,16360,16380,16360,42.97177392
2017/12/14 11:16,16360,16400,16400,16340,65.04465026
2017/12/14 11:17,16389,16380,16398,16360,12.3476685
2017/12/14 11:18,16368,16379,16399,16340,29.957815
